year,position,artist,song,score,us,uk,de,fr,ca,au
"2011","12","The Black Eyed Peas","Just Can't Get Enough","7797.134","3","3","9","1","5","3"
"2011","13","Nicki Minaj","Super Bass","7555.776","3","8","-","-","6","6"
"2011","14","Bruno Mars","The Lazy Song","7189.740","4","1","9","11","5","6"
"2011","15","Foster the People","Pumped Up Kicks","6995.667","3","18","9","11","3","7"
"2011","16","Lady GaGa","The Edge Of Glory","6936.708","3","6","3","7","3","2"
"2011","17","Cee-Lo Green","F**k You/Forget You","6708.800","2","11","-","84","7","16"
"2011","18","Jessie J & BoB","Price Tag","6608.941","23","1","3","1","4","2"
"2011","19","Rihanna & Calvin Harris","We Found Love","6449.722","1","1","1","1","1","2"
"2011","20","Bruno Mars","Just The Way You Are (Amazing)","6429.614","6","14","5","33","9","12"
"2011","21","Katy Perry","Last Friday Night (TGIF)","6402.576","1","9","-","22","1","5"
"2011","22","Alexandra Stan","Mr Saxobeat","6300.559","21","3","1","6","25","19"
"2011","23","Pink","F**kin' Perfect","6261.449","2","10","7","24","2","19"
"2011","24","Britney Spears, Nicki Minaj & Ke$ha","Till The World Ends","5728.280","3","21","-","8","4","8"
"2011","25","Enrique Iglesias & Ludacris","Tonight (I'm F**kin' You)","5676.402","4","5","-","26","3","2"
"2011","26","Bad Meets Evil & Bruno Mars","Lighters","5302.920","4","10","-","11","4","17"
"2011","27","Gym Class Heroes","Stereo Hearts","5297.023","4","3","-","19","7","4"
"2011","28","P Diddy & Skylar Grey","Coming Home","5283.443","11","4","4","8","7","4"
"2011","29","David Guetta & Usher","Without You","5247.372","4","6","7","6","3","6"
"2011","30","LMFAO","Sexy And I Know It","5212.406","2","5","-","3","1","1"
"2011","31","The Black Eyed Peas","The Time (Dirty Bit)","5205.678","7","3","1","2","1","3"
"2011","32","David Guetta, Flo-Rida & Nicki Minaj","Where Them Girls At","5029.592","14","3","5","4","3","6"
"2011","33","Jeremih & 50 Cent","Down On Me","4921.245","4","30","-","19","22","-"
"2011","34","OneRepublic","Good Life","4839.043","8","-","-","-","5","-"
"2011","35","Martin Solveig","Hello","4824.944","46","13","5","9","8","13"
"2011","36","Rihanna","Only Girl (In The World)","4666.331","7","6","8","5","5","9"
"2011","37","Chris Brown","Yeah 3X","4610.134","15","6","7","59","12","4"
"2011","38","Cobra Starship & Sabi","You Make Me Feel","4502.630","7","16","-","13","4","3"
"2011","39","Lupe Fiasco","The Show Goes On","4457.519","9","49","-","-","19","5"
"2011","40","Adele","Set Fire To The Rain","4444.437","13","11","6","9","7","11"
"2011","41","Hot Chelle Rae","Tonight, Tonight","4389.644","7","-","-","-","10","7"
"2011","42","Lady Antebellum","Just A Kiss","4359.493","7","78","-","-","13","-"
"2011","43","Usher","More","4280.913","15","23","7","14","1","7"
"2011","44","Chris Brown & Lil' Wayne","Look At Me Now","4269.269","6","44","-","85","-","46"
"2011","45","Pink","Raise Your Glass","4252.732","4","19","-","37","4","8"
"2011","46","Dr Dre, Eminem & Skylar Grey","I Need A Doctor","4246.980","4","8","-","29","8","12"
"2011","47","Christina Perri","Jar Of Hearts","4223.701","17","4","-","-","21","2"
"2011","48","Snoop Dogg & David Guetta","Sweat","4194.235","-","4","2","1","25","1"
"2011","49","Ke$ha","Blow","4142.662","7","32","-","-","12","10"
"2011","50","Lil' Wayne","How To Love","4102.435","5","48","-","97","20","-"
"2011","51","Rihanna & Drake","What's My Name?","4085.459","3","1","-","16","5","18"
"2011","52","Wiz Khalifa","Black & Yellow","4061.704","1","5","-","38","7","24"
"2011","53","Pitbull & T-Pain","Hey Baby (Drop It To The Floor)","3981.955","7","38","-","24","10","13"
"2011","54","Britney Spears","I Wanna Go","3980.792","7","-","-","5","5","31"
"2011","55","Taio Cruz & Kylie Minogue & Travie McCoy","Higher","3895.149","24","8","3","7","13","25"
"2011","56","Kanye West","All Of The Lights","3810.302","18","15","-","52","-","24"
"2011","57","Pitbull & Marc Anthony","Rain Over Me","3764.637","30","28","7","2","7","9"
"2011","58","Flo-Rida","Good Feeling","3684.631","4","2","1","3","3","4"
"2011","59","Jason Derulo","Don't Wanna Go Home","3677.368","14","1","-","23","8","5"
"2011","60","Avril Lavigne","What The Hell","3667.864","11","16","-","18","8","6"
"2011","61","Beyonce","Best Thing I Never Had","3648.752","16","3","-","61","27","17"
"2011","62","Tinie Tempah & Eric Turner","Written In The Stars","3615.122","12","25","-","21","18","34"
"2011","63","The Band Perry","If I Die Young","3571.899","14","-","-","-","-","-"
"2011","64","Ke$ha","We R Who We R","3525.283","3","1","-","22","5","6"
"2011","65","Nicki Minaj","Moment 4 Life","3464.661","13","22","-","65","27","-"
"2011","66","Coldplay","Every Teardrop Is A Waterfall","3455.515","14","6","-","20","9","14"
"2011","67","David Guetta & Rihanna","Who's That Chick?","3433.677","51","6","8","5","26","7"
"2011","68","Jason Aldean & Ludacris","Dirt Road Anthem","3388.780","7","-","-","-","39","-"
"2011","69","Britney Spears","Hold It Against Me","3374.951","1","6","-","31","1","4"
"2011","70","Lady GaGa","You & I","3370.201","6","23","-","98","10","14"
"2011","71","Taio Cruz","Dynamite","3356.826","11","29","-","23","14","15"
"2011","72","Jason Derulo","It Girl","3323.017","17","4","-","30","34","3"
"2011","73","Rihanna","Cheers (Drink To That)","3251.516","7","15","-","64","6","6"
"2011","74","Coldplay","Paradise","3202.826","15","2","-","5","13","7"
"2011","75","DJ Khaled, Drake & Rick Ross","I'm On One","3116.907","10","78","-","-","-","-"
"2011","76","Kelly Rowland & Lil' Wayne","Motivation","3036.616","17","-","-","-","-","-"
"2011","77","Eli Young Band","Crazy Girl","3014.171","30","-","-","-","-","-"
"2011","78","The Script","For The First Time","2939.879","23","59","-","-","30","49"
"2011","79","Rihanna","California King Bed","2917.037","37","8","8","30","20","4"
"2011","80","Wiz Khalifa","Roll Up","2842.826","13","42","-","60","-","-"
"2011","81","Drake","Headlines","2829.761","13","57","-","75","18","-"
"2011","82","Dev","In The Dark","2811.805","11","37","-","-","13","41"
"2011","83","Far East Movement & Ryan Tedder","Rocketeer","2807.018","7","14","-","-","22","14"
"2011","84","Lil' Wayne & Corey Gunz","6 Foot 7 Foot","2773.606","9","71","-","-","50","-"
"2011","85","Lady GaGa","Judas","2749.008","10","8","-","7","8","6"
"2011","86","Kelly Clarkson","Mr Know It All","2743.532","10","4","-","-","11","1"
"2011","87","Selena Gomez & The Scene","Love You Like A Love Song","2736.885","26","58","-","-","10","48"
"2011","88","Rihanna","Man Down","2670.998","59","54","-","1","-","-"
"2011","89","Chris Brown & Benny Benassi","Beautiful People","2626.076","43","4","-","26","22","7"
"2011","90","Beyonce","Run The World (Girls)","2591.858","29","11","-","12","16","10"
"2011","91","Sean Paul & Alexis Jordan","Got 2 Luv U","2538.130","84","11","3","4","-","26"
"2011","92","Lucenzo & Don Omar","Danza kuduro","2533.399","-","-","1","4","-","-"
"2011","93","Jason Aldean & Kelly Clarkson","Don't You Wanna Stay","2527.688","31","-","-","-","35","-"
"2011","94","Blake Shelton","Honey Bee","2523.732","13","-","-","-","28","-"
"2011","95","Bruno Mars","It Will Rain","2496.315","3","14","-","58","5","14"
"2011","96","Selena Gomez & The Scene","Who Says","2485.517","21","51","-","-","17","-"
"2011","97","Jay-Z & Kanye West & Otis Redding","Otis","2444.431","12","28","-","69","37","42"
"2011","98","Jake Owen","Barefoot Blue Jean Night","2416.189","21","-","-","-","-","-"
"2011","99","Blake Shelton","God Gave Me You","2406.260","22","-","-","-","48","-"
"2011","100","Edward Maya","Stereo Love","2374.282","16","-","-","-","11","-"
"2012","1","Gotye & Kimbra","Somebody That I Used To Know","15805.266","1","1","1","1","1","13"
"2012","2","Carly Rae Jepsen","Call Me Maybe","14754.086","1","1","3","1","1","1"
"2012","3","fun.","We Are Young","11863.237","1","1","4","7","1","1"
"2012","4","Maroon 5 & Wiz Khalifa","Payphone","9627.767","2","1","4","8","1","2"
"2012","5","Nicki Minaj","Starships","9288.141","5","2","-","5","4","2"
"2012","6","Flo-Rida & Sia","The Wild Ones","8804.534","5","4","6","11","1","1"
"2012","7","Flo-Rida","Whistle","8457.625","1","2","2","2","1","1"
"2012","8","Kelly Clarkson","Stronger (What Doesn't Kill You)","8381.261","1","8","-","20","3","18"
"2012","9","David Guetta & Sia","Titanium","8272.201","7","1","-","3","7","33"
"2012","10","Rihanna & Calvin Harris","We Found Love","8235.035","1","5","4","6","1","11"
"2012","11","fun.","Some Nights","8169.086","3","7","-","37","4","1"
"2012","12","One Direction","What Makes You Beautiful","7890.506","4","14","-","39","7","7"
"2012","13","Train","Drive By","7839.881","10","6","3","31","11","13"
"2012","14","LMFAO","Sexy And I Know It","7818.636","1","9","8","3","1","1"
"2012","15","Ellie Goulding","Lights","7608.504","2","-","-","29","7","-"
"2012","16","Alex Clare","Too Close","7268.214","7","4","1","9","14","-"
"2012","17","Adele","Set Fire To The Rain","7246.550","1","32","-","9","2","37"
"2012","18","Maroon 5","One More Night","7139.380","1","8","-","9","2","2"
"2012","19","Flo-Rida","Good Feeling","6777.574","3","1","5","5","2","8"
"2012","20","Psy","Gangnam Style","6760.297","2","1","1","1","1","1"
"2012","21","The Wanted","Glad You Came","6741.787","3","-","-","30","2","-"
"2012","22","Rihanna","Where Have You Been?","6624.416","5","6","-","2","5","6"
"2012","23","Katy Perry","Wide Awake","6410.913","2","9","-","33","1","4"
"2012","24","Jason Mraz","I Won't Give Up","6348.219","8","11","-","-","11","-"
"2012","25","David Guetta & Nicki Minaj","Turn Me On","6294.263","4","8","6","10","3","3"
"2012","26","Drake & Rihanna","Take Care","6157.114","7","18","-","26","15","9"
"2012","27","Owl City & Carly Rae Jepsen","Good Time","5969.638","8","5","-","4","1","5"
"2012","28","Maroon 5 & Christina Aguilera","Moves Like Jagger","5682.055","9","11","-","15","6","15"
"2012","29","Taylor Swift","We Are Never Ever Getting Back Together","5666.786","1","4","-","53","1","3"
"2012","30","Rihanna","Diamonds","5629.664","1","1","1","1","1","6"
"2012","31","LMFAO","Party Rock Anthem","5607.359","6","24","-","17","11","14"
"2012","32","Jessie J","Domino","5552.743","6","1","-","11","7","27"
"2012","33","Pink","Blow Me (One Last Kiss)","5545.092","5","3","10","22","4","1"
"2012","34","Katy Perry","Part Of Me","5375.891","1","1","-","13","1","5"
"2012","35","Adele","Someone Like You","5277.606","7","27","5","2","10","26"
"2012","36","Justin Bieber & Big Sean","As Long As You Love Me","5122.952","6","22","-","48","9","8"
"2012","37","Snoop Dogg, Wiz Khalifa & Bruno Mars","Young Wild Free","5077.809","7","44","-","6","13","4"
"2012","38","Jay-Z & Kanye West","Niggas in Paris","5031.970","5","10","-","28","16","-"
"2012","39","Neon Trees","Everybody Talks","4971.124","6","-","-","-","35","-"
"2012","40","Justin Bieber","Boyfriend","4925.728","2","2","-","17","1","5"
"2012","41","Chris Brown","Don't Wake Me Up","4861.603","10","2","-","11","22","2"
"2012","42","Usher","Scream","4778.447","9","5","-","29","4","11"
"2012","43","Coldplay","Paradise","4749.238","20","1","-","9","27","3"
"2012","44","Pitbull & Chris Brown","International Love","4677.537","13","10","-","6","10","15"
"2012","45","Michel Telo","Ai se eu te pego!","4606.553","81","66","1","1","27","-"
"2012","46","Drake & Lil' Wayne","The Motto","4484.160","14","80","-","-","38","-"
"2012","47","Pitbull","Back In Time","4438.620","11","21","5","3","4","4"
"2012","48","Calvin Harris","Feel So Close","4398.067","12","63","-","13","9","21"
"2012","49","Kanye West, Big Sean, Pusha T & 2 Chainz","Mercy","4327.156","13","82","-","101","46","-"
"2012","50","Ne-Yo","Let Me Love You (Until You Learn To Love Yourself)","4090.859","6","1","-","22","11","8"
"2012","51","Of Monsters And Men","Little Talks","4088.627","31","12","5","86","-","7"
"2012","52","Demi Lovato","Give Your Heart A Break","4007.989","16","-","-","162","19","-"
"2012","53","The Lumineers","Ho Hey","3879.031","3","8","-","97","9","18"
"2012","54","Avicii","Levels","3839.909","60","4","6","14","36","24"
"2012","55","Adele","Rolling In The Deep","3812.064","5","28","-","13","12","29"
"2012","56","Nicki Minaj","Pound The Alarm","3791.278","15","8","-","19","8","10"
"2012","57","Adele","Skyfall","3780.220","8","2","1","1","3","5"
"2012","58","Ed Sheeran","The 'A' Team","3658.148","17","17","9","43","29","7"
"2012","59","Bruno Mars","Locked Out Of Heaven","3656.111","1","2","7","6","1","4"
"2012","60","Katy Perry","The One That Got Away","3563.889","3","18","-","30","2","32"
"2012","61","Bruno Mars","It Will Rain","3551.401","3","30","-","98","6","24"
"2012","62","Hunter Hayes","Wanted","3534.441","16","-","-","-","27","-"
"2012","63","Phil Phillips","Home","3528.610","7","-","-","-","9","-"
"2012","64","Skrillex & Sirah","Bangarang","3499.806","72","24","-","63","26","4"
"2012","65","David Guetta & Usher","Without You","3495.814","8","31","-","14","4","28"
"2012","66","Gym Class Heroes & Neon Hitch","Ass Back Home","3410.458","12","9","-","-","24","1"
"2012","67","Flo-Rida","I Cry","3397.664","6","3","10","9","9","3"
"2012","68","Karmin","Broken hearted","3350.292","16","6","-","-","19","9"
"2012","69","Chris Brown","Turn Up The Music","3302.759","10","1","-","39","19","6"
"2012","70","Calvin Harris & Ne-Yo","Let's Go","3298.570","17","2","-","117","19","17"
"2012","71","Ke$ha","Die Young","3297.047","2","7","-","14","4","3"
"2012","72","Tyga","Rack City","3275.038","7","39","-","150","-","-"
"2012","73","Lykke Li","I Follow Rivers","3221.356","-","-","1","4","-","-"
"2012","74","Jennifer Lopez & Pitbull","To Dance Again","3186.789","17","11","-","15","4","28"
"2012","75","Alicia Keys & Nicki Minaj","Girl On Fire","3115.810","11","5","4","5","19","12"
"2012","76","Cher Lloyd & Astro","Want U Back","3072.809","12","25","-","-","11","36"
"2012","77","Linkin Park","Burn It Down","2905.930","30","27","2","47","33","41"
"2012","78","One Direction","One Thing","2886.901","39","9","-","91","17","3"
"2012","79","Mumford & Sons","I'll Wait","2881.313","23","12","-","-","9","23"
"2012","80","Luke Bryan","Drunk On You","2877.315","16","-","-","-","28","-"
"2012","81","BoB","So Good","2823.568","11","7","-","131","20","9"
"2012","82","Train","50 Ways To Say Goodbye","2817.500","20","50","-","-","17","16"
"2012","83","2 Chainz","No Lie","2763.403","24","-","-","-","-","-"
"2012","84","Eric Church","Springsteen","2760.551","19","-","-","-","28","-"
"2012","85","Lana Del Rey","Video Games","2709.159","91","13","2","2","-","23"
"2012","86","Swedish House Mafia & John Martin","Don't You Worry Child","2655.609","12","1","-","37","10","1"
"2012","87","The Script & will.i.am","Hall Of Fame","2647.628","36","1","4","89","25","4"
"2012","88","Usher","Climax","2627.711","17","4","-","-","-","29"
"2012","89","Coldplay & Rihanna","Princess Of China","2570.320","54","4","-","24","-","16"
"2012","90","Kanye West, Jay-Z & Big Sean","Clique","2569.359","12","25","-","43","17","39"
"2012","91","Adele","Rumour Has It","2564.128","16","98","-","172","16","-"
"2012","92","Imagine Dragons","It's Time","2549.086","19","-","-","-","-","-"
"2012","93","Carrie Underwood","Blown Away","2540.746","20","-","-","-","27","-"
"2012","94","Wiz Khalifa","Work Hard, Play Hard","2521.024","17","-","-","50","40","-"
"2012","95","Asaf Avidan","One Day/Reckoning Song","2504.522","-","30","1","3","-","-"
"2012","96","Christina Perri","A Thousand Years","2485.995","31","13","-","-","-","13"
"2012","97","Foster the People","Pumped Up Kicks","2462.517","19","22","9","10","7","1"
"2012","98","Trey Songz","Heart Attack","2456.077","35","28","-","139","-","-"
"2012","99","Carrie Underwood","Good Girl","2432.009","18","-","-","-","21","-"
"2012","100","M83","Midnight City","2336.055","72","34","-","8","-","37"
"2013","1","Robin Thicke, T.I. & Pharrell Williams","Blurred Lines","13277.865","1","1","1","1","1","1"
"2013","2","Macklemore & Ryan Lewis","Thrift Shop","12718.317","1","1","2","1","1","1"
"2013","3","Imagine Dragons","Radioactive","11949.021","3","12","4","32","5","6"
"2013","4","Macklemore & Ryan Lewis","Can't Hold Us","11504.501","1","3","2","3","2","1"
"2013","5","Daft Punk & Pharrell Williams","Get Lucky","11147.935","2","1","1","1","2","1"
"2013","6","Pink & Nate Ruess","Just Give Me A Reason","10967.604","1","2","1","4","1","1"
"2013","7","Justin Timberlake","Mirrors","10046.867","2","1","2","15","4","10"
"2013","8","Avicii","Wake Me Up","9686.981","4","1","1","1","2","1"
"2013","9","Rihanna & Mikky Ekko","Stay","9418.485","3","4","2","2","1","4"
"2013","10","The Lumineers","Ho Hey","9177.488","3","12","5","6","2","3"
"2013","11","will.i.am & Britney Spears","Scream & Shout","8989.602","3","1","1","1","1","2"
"2013","12","Bruno Mars","When I Was Your Man","8877.517","1","2","-","9","3","6"
"2013","13","Bruno Mars","Locked Out Of Heaven","8161.734","1","4","-","3","1","5"
"2013","14","Katy Perry","Roar","7678.424","1","1","2","5","1","1"
"2013","15","Passenger","Let Her Go","7372.175","9","2","1","6","9","1"
"2013","16","Taylor Swift","I Knew You Were Trouble","7279.309","2","2","9","14","2","4"
"2013","17","Icona Pop & Charli XCX","I Love It","6950.494","7","1","3","18","9","3"
"2013","18","Lorde","Royals","6871.536","1","1","8","7","1","-"
"2013","19","Miley Cyrus","We Can't Stop","6654.750","2","1","-","26","3","4"
"2013","20","Capital Cities","Safe And Sound","6565.734","8","42","1","15","5","16"
"2013","21","OneRepublic","Counting Stars","6101.347","3","1","3","36","3","2"
"2013","22","Rihanna","Diamonds","6017.631","2","8","1","4","3","13"
"2013","23","Bruno Mars","Treasure","6002.545","5","12","-","6","4","10"
"2013","24","Miley Cyrus","Wrecking Ball","5871.280","1","1","6","2","1","2"
"2013","25","AWOLNATION","Sail","5724.493","17","18","-","79","-","27"
"2013","26","Florida Georgia Line","Cruise","5599.768","4","75","-","-","40","-"
"2013","27","Jay-Z & Justin Timberlake","Holy Grail","5570.498","4","7","-","40","13","42"
"2013","28","Psy","Gangnam Style","5555.732","6","3","1","1","5","3"
"2013","29","Justin Timberlake & Jay Z","Suit & Tie","5532.553","3","3","-","8","3","9"
"2013","30","Lana Del Rey & Cedric Gervais","Summertime Sadness","5480.045","6","4","-","10","7","3"
"2013","31","Pitbull & Christina Aguilera","Feel This Moment","5383.271","8","5","9","23","4","6"
"2013","32","Calvin Harris & Ellie Goulding","I Need Your Love","5302.511","16","4","-","10","13","3"
"2013","33","Swedish House Mafia & John Martin","Don't You Worry Child","5298.610","6","9","9","118","9","3"
"2013","34","Lady GaGa","Applause","5180.046","4","5","5","3","4","11"
"2013","35","Macklemore & Ryan Lewis","Same Love","4967.792","11","6","-","19","4","1"
"2013","36","Zedd & Foxes","Clarity","4923.736","8","29","-","-","17","13"
"2013","37","Pink","Try","4734.869","9","14","3","15","5","30"
"2013","38","Baauer","Harlem Shake","4731.348","1","3","10","4","6","1"
"2013","39","Selena Gomez","Come & Get It","4497.544","6","8","-","34","6","46"
"2013","40","Anna Kendrick","Cups (Pitch Perfect's 'When I'm Gone')","4468.890","6","-","-","-","12","44"
"2013","41","Drake & Majid Jordan","Hold On, We're Going Home","4440.081","4","-","-","12","5","8"
"2013","42","Bastille","Pompeii","4276.078","24","2","6","96","25","4"
"2013","43","Drake","Started From The Bottom","4165.960","6","25","-","56","36","-"
"2013","44","Olly Murs & Flo-Rida","Troublemaker","4136.284","25","4","2","41","15","6"
"2013","45","Fall Out Boy","My songs know what you did in the dark (Light 'em up)","4087.842","13","5","-","89","19","30"
"2013","46","Alicia Keys & Nicki Minaj","Girl On Fire","4062.066","12","19","4","7","6","32"
"2013","47","Imagine Dragons","Demons","4029.942","6","75","-","-","4","11"
"2013","48","Jason Derulo","The Other Side","3994.678","18","2","-","45","5","4"
"2013","49","Calvin Harris & Florence Welch","Sweet Nothing","3993.843","10","18","-","17","15","25"
"2013","50","Ariana Grande","The Way","3977.844","9","41","-","-","33","37"
"2013","51","Maroon 5","Daylight","3945.863","7","63","-","74","5","19"
"2013","52","Ellie Goulding","Burn","3935.756","13","1","4","9","17","6"
"2013","53","Demi Lovato","Heart Attack","3816.798","10","3","-","69","7","41"
"2013","54","Mumford & Sons","I'll Wait","3795.933","12","12","-","93","9","25"
"2013","55","The Script & will.i.am","Hall Of Fame","3607.015","25","17","2","60","44","23"
"2013","56","Lil' Wayne & Drake","Love Me","3579.268","9","44","-","27","49","-"
"2013","57","Eminem & Rihanna","The Monster","3574.612","1","1","3","1","1","1"
"2013","58","One Direction","Best Song Ever","3507.959","2","2","-","12","2","4"
"2013","59","Naughty Boy & Sam Smith","La La La","3484.966","-","1","2","6","-","5"
"2013","60","James Arthur","Impossible","3443.083","-","1","5","6","-","2"
"2013","61","Imagine Dragons","It's Time","3434.066","15","23","-","101","30","27"
"2013","62","will.i.am & Justin Bieber","thatPOWER","3417.924","17","2","7","11","6","6"
"2013","63","Justin Bieber & Nicki Minaj","Beauty & A Beat","3325.847","5","30","-","28","4","9"
"2013","64","Eminem","Berzerk","3322.211","3","2","10","10","2","5"
"2013","65","J Cole","PowerTrip","3293.858","19","-","-","-","-","-"
"2013","66","Maroon 5","Love Somebody","3275.790","10","-","-","87","10","-"
"2013","67","Phil Phillips","Gone, Gone, Gone","3246.883","24","-","-","-","28","-"
"2013","68","John Newman","Love Me Again","3227.321","71","1","6","7","18","4"
"2013","69","Martin Garrix","Animals","3197.497","51","1","4","2","-","29"
"2013","70","Of Monsters And Men","Little Talks","3179.777","20","13","-","29","-","8"
"2013","71","Taylor Swift","22","3151.738","20","9","-","155","20","21"
"2013","72","Maroon 5","One More Night","3136.623","5","18","-","19","11","46"
"2013","73","Darius Rucker","Wagon Wheels","3127.433","15","-","-","-","23","-"
"2013","74","Adele","Skyfall","3083.213","33","14","7","2","17","38"
"2013","75","ASAP Rocky","Fuckin' Problems","3077.777","8","-","-","30","-","-"
"2013","76","Wale & Tiara Thomas","Bad","2873.134","21","-","-","141","-","-"
"2013","77","Paramore","Still Into You","2825.637","24","15","-","189","-","5"
"2013","78","Blake Shelton & Pistol Annies","Boys 'Round Here","2825.036","12","-","-","-","12","-"
"2013","79","Mariah Carey & Miguel","Beautiful","2728.071","15","22","-","41","27","6"
"2013","80","Pitbull & Ke$ha","Timber","2721.640","2","-","1","8","1","4"
"2013","81","David Guetta, Ne-Yo & Akon","Play Hard","2709.067","64","6","-","7","-","48"
"2013","82","Ylvis","The Fox","2689.510","6","17","-","135","19","9"
"2013","83","Psy","Gentleman","2638.709","5","10","-","11","9","15"
"2013","84","Lana Del Rey","Young & Beautiful","2619.528","22","23","-","31","45","8"
"2013","85","Phil Phillips","Home","2568.853","6","60","-","-","6","-"
"2013","86","Emeli Sande","Next To Me","2565.688","25","45","-","32","43","14"
"2013","87","Sara Bareilles","Brave","2505.143","26","-","-","-","-","-"
"2013","88","Chris Brown","Love More","2492.167","23","32","-","148","-","29"
"2013","89","Rihanna","Pour It Up","2491.617","19","43","-","81","49","-"
"2013","90","Taylor Swift & Ed Sheeran","Everything Has Changed","2471.427","32","7","-","-","29","28"
"2013","91","Luke Bryan","That's My Kind Of Night","2464.197","15","-","-","-","19","-"
"2013","92","Luke Bryan","Crash My Party","2462.740","18","-","-","-","18","-"
"2013","93","Ke$ha","Die Young","2460.478","4","13","-","12","7","19"
"2013","94","Neighborhood","Sweater Weather","2357.906","14","-","-","-","-","-"
"2013","95","fun.","Some Nights","2344.997","9","53","-","60","15","39"
"2013","96","Hunter Hayes","I Want Crazy","2331.474","19","-","-","-","14","-"
"2013","97","fun.","Carry On","2290.294","20","-","-","-","18","-"
"2013","98","Pink & Lily Allen","True Love","2271.825","53","16","-","52","20","5"
"2013","99","Tim McGraw & Taylor Swift","Highway Don't Care","2253.427","22","-","-","-","21","-"
"2013","100","Kelly Clarkson","Catch My Breath","2217.928","19","-","-","-","22","-"
"2014","1","Pharrell Williams","Happy","17758.304","1","1","1","1","1","1"
"2014","2","John Legend","All Of Me","14417.072","1","2","-","4","1","1"
"2014","3","Katy Perry","Dark Horse","12588.673","1","4","6","6","1","-"
"2014","4","OneRepublic","Counting Stars","10615.426","2","10","-","7","1","39"
"2014","5","Sam Smith","Stay With Me","10090.749","2","1","-","6","1","5"
"2014","6","Iggy Azalea & Charli XCX","Fancy","9916.722","1","5","-","21","1","5"
"2014","7","Magic!","Rude","9407.358","1","1","7","51","6","2"
"2014","8","Pitbull & Ke$ha","Timber","9405.324","1","1","1","8","1","6"
"2014","9","Meghan Trainor","All About That Bass","9358.997","1","1","1","8","1","1"
"2014","10","Clean Bandit & Jess Glynne","Rather Be","9352.717","10","1","1","2","13","2"
"2014","11","Nico & Vinz","Am I Wrong","8787.613","4","1","3","6","1","2"
"2014","12","Sia","Chandelier","8629.945","8","6","10","1","6","2"
"2014","13","Calvin Harris","Summer","7879.599","7","1","3","15","3","4"
"2014","14","Ariana Grande & Iggy Azalea","Problem","7819.102","2","1","-","14","3","2"
"2014","15","Bastille","Pompeii","7769.098","5","20","-","-","6","-"
"2014","16","DJ Snake & Lil' Jon","Turn Down For What","7709.913","4","23","-","19","11","13"
"2014","17","Jason Derulo & 2 Chainz","Talk Dirty","7406.295","3","21","-","13","3","43"
"2014","18","Idina Menzel","Let It Go","7349.679","5","11","-","-","18","16"
"2014","19","Taylor Swift","Shake It Off","7317.663","1","2","5","15","1","1"
"2014","20","Mr Probz","Waves","6950.072","14","1","1","3","10","3"
"2014","21","Avicii","Wake Me Up","6597.703","7","15","-","11","5","23"
"2014","22","Imagine Dragons","Demons","6523.061","6","13","-","15","4","11"
"2014","23","Coldplay","A Sky Full Of Stars","6430.440","10","9","6","3","4","2"
"2014","24","Chris Brown & Lil' Wayne","Loyal","6296.569","9","10","-","35","-","42"
"2014","25","Passenger","Let Her Go","6069.132","5","41","-","23","5","-"
"2014","26","Avicii","Hey, Brother","6035.534","16","3","4","4","10","8"
"2014","27","Lorde","Team","6019.727","6","29","-","24","3","19"
"2014","28","Iggy Azalea & Rita Ora","Black Widow","6016.997","3","4","-","9","6","15"
"2014","29","Jessie J, Nicki Minaj & Ariana Grande","Bang Bang","5980.640","3","1","-","47","3","4"
"2014","30","A Great Big World & Christina Aguilera","Say Something","5933.223","4","4","-","29","1","1"
"2014","31","Jason Derulo & Snoop Dogg","Wiggle","5912.676","5","8","6","4","14","3"
"2014","32","Maroon 5","Maps","5742.531","6","2","6","17","1","30"
"2014","33","Eminem & Rihanna","The Monster","5726.338","1","5","7","8","2","5"
"2014","34","Ed Sheeran","Sing","5697.051","13","1","7","5","4","1"
"2014","35","Tove Lo","Habits (Stay High)","5689.218","3","-","-","2","3","-"
"2014","36","American Authors","Best Day Of My Life","5678.162","11","17","-","-","5","10"
"2014","37","Enrique Iglesias","Bailando","5536.822","12","75","-","12","13","-"
"2014","38","Beyonce & Jay-Z","Drunk In Love","5529.808","2","9","-","9","23","22"
"2014","39","Charli XCX","Boom Clap","5475.784","8","6","-","15","8","9"
"2014","40","Disclosure & Sam Smith","Latch","5454.122","7","59","-","8","6","47"
"2014","41","Ariana Grande & Zedd","Break Free","5429.226","4","16","-","27","5","3"
"2014","42","Ed Sheeran","Don't","5321.951","9","8","-","41","7","4"
"2014","43","Milky Chance","Stolen Dance","5298.564","41","24","7","1","7","2"
"2014","44","One Direction","Story Of My Life","5130.629","9","9","-","31","10","17"
"2014","45","Lorde","Royals","5067.685","4","16","8","4","8","-"
"2014","46","Jason Derulo","Trumpets","4905.247","14","4","-","25","38","1"
"2014","47","Vance Joy","Riptide","4718.196","32","10","9","65","27","6"
"2014","48","Aloe Blacc","The Man","4651.752","8","1","-","23","14","10"
"2014","49","OneRepublic","Love Runs Out","4606.596","15","3","3","76","4","22"
"2014","50","Ellie Goulding","Burn","4488.882","13","18","-","32","14","-"
"2014","51","Michael Jackson & Justin Timberlake","Love Never Felt So Good","4464.573","9","8","-","2","20","28"
"2014","52","Kid Ink & Chris Brown","Show Me","4383.949","13","23","-","58","-","46"
